history_id,deal_id,stage,value,probability,changed_date,user_id,notes
1,1,Discovery,180000,60,2024-02-12,1,Initial discovery meeting completed
2,1,Qualification,185000,65,2024-03-15,1,Requirements gathering phase
3,1,Proposal,195000,75,2024-04-20,1,Proposal submitted to stakeholders
4,1,Negotiation,200000,85,2024-06-01,1,Contract terms under discussion
5,2,Discovery,140000,70,2024-02-22,5,Initial client meeting
6,2,Qualification,145000,75,2024-03-28,5,Technical requirements defined
7,2,Proposal,148000,85,2024-05-10,5,Formal proposal presented
8,2,Negotiation,150000,90,2024-06-15,5,Final pricing negotiations
9,3,Discovery,75000,65,2024-03-03,3,Educational needs assessment
10,3,Qualification,80000,70,2024-04-05,3,Platform requirements confirmed
11,3,Proposal,85000,80,2024-05-20,3,Implementation plan approved
12,4,Discovery,120000,70,2024-03-22,2,Research platform evaluation
13,4,Qualification,125000,75,2024-04-25,2,Technical specifications review
14,4,Proposal,130000,85,2024-06-10,2,Proposal under committee review
15,5,Discovery,155000,75,2024-04-01,1,CRM requirements analysis
16,5,Qualification,160000,80,2024-05-05,1,System integration planning
17,5,Proposal,165000,85,2024-06-20,1,Proposal approved by board
18,5,Negotiation,170000,88,2024-07-15,1,Contract negotiations started
19,6,Discovery,60000,70,2024-04-20,3,Analytics requirements review
20,6,Qualification,62000,75,2024-05-25,3,Dashboard specifications finalized
21,6,Proposal,65000,82,2024-07-10,3,Final proposal presentation
22,7,Discovery,115000,75,2024-05-10,2,Legal tech assessment
23,7,Qualification,120000,80,2024-06-15,2,Document management review
24,7,Proposal,125000,87,2024-07-20,2,Implementation timeline agreed
25,8,Discovery,175000,80,2024-05-20,1,Construction tech evaluation
26,8,Qualification,180000,85,2024-06-25,1,Project tracking requirements
27,8,Proposal,185000,88,2024-07-30,1,Proposal approved
28,8,Negotiation,190000,91,2024-08-04,1,Final contract terms
29,9,Discovery,135000,75,2024-05-30,5,Pharmaceutical compliance review
30,9,Qualification,140000,80,2024-07-05,5,Regulatory requirements analysis
31,9,Proposal,145000,84,2024-08-10,5,Compliance solution proposed
32,10,Discovery,110000,80,2024-06-18,4,Smart home automation assessment
33,10,Qualification,115000,85,2024-07-25,4,IoT integration planning
34,10,Proposal,120000,86,2024-08-15,4,Final automation proposal
35,11,Discovery,95000,75,2024-07-08,1,Game development tools review
36,11,Qualification,98000,80,2024-08-05,1,Development workflow analysis
37,11,Proposal,100000,83,2024-08-14,1,Tools integration proposal
38,12,Discovery,125000,80,2024-07-18,5,VR training needs assessment
39,12,Qualification,130000,85,2024-08-10,5,Training platform specifications
40,12,Negotiation,135000,89,2024-08-03,5,Pricing and terms discussion
41,13,Discovery,115000,75,2024-07-28,3,IoT device management review
42,13,Qualification,120000,80,2024-08-15,3,Device connectivity requirements
43,13,Proposal,125000,81,2024-08-12,3,Management platform proposal
44,14,Discovery,185000,80,2024-08-14,2,Quantum computing evaluation
45,14,Proposal,200000,88,2024-08-12,2,Quantum platform proposal
46,15,Discovery,105000,75,2024-02-15,5,Ocean monitoring needs analysis
47,15,Qualification,110000,80,2024-04-10,5,Marine platform requirements
48,15,Proposal,115000,85,2024-06-25,5,Monitoring solution proposal
49,16,Discovery,145000,85,2024-02-25,3,Urban planning assessment
50,16,Qualification,150000,90,2024-04-15,3,Smart city requirements
51,16,Negotiation,155000,92,2024-06-20,3,Implementation contract
52,17,Discovery,165000,80,2024-03-08,4,Future tech research evaluation
53,17,Qualification,170000,85,2024-05-10,4,Research platform specifications
54,17,Proposal,175000,87,2024-07-15,4,Innovation platform proposal
55,18,Discovery,155000,75,2024-04-01,1,Healthcare IT assessment
56,18,Qualification,160000,80,2024-05-20,1,Infrastructure requirements
57,18,Proposal,165000,84,2024-07-25,1,IT infrastructure proposal
58,19,Discovery,130000,85,2024-04-15,5,Risk management evaluation
59,19,Qualification,135000,88,2024-06-10,5,Risk system requirements
60,19,Negotiation,140000,90,2024-07-30,5,Risk management contract
61,20,Discovery,80000,80,2024-05-13,4,Fleet management assessment
62,20,Qualification,83000,85,2024-07-05,4,Transportation requirements
63,20,Proposal,85000,86,2024-08-11,4,Fleet optimization proposal
64,21,Discovery,135000,80,2024-06-10,1,Property management evaluation
65,21,Qualification,140000,85,2024-07-20,1,Real estate system requirements
66,21,Proposal,145000,88,2024-08-12,1,Property management proposal
67,22,Discovery,75000,85,2024-06-24,5,Customer experience assessment
68,22,Qualification,78000,88,2024-08-01,5,Experience platform requirements
69,22,Negotiation,80000,91,2024-08-05,5,Customer experience contract
70,23,Discovery,55000,75,2024-07-22,4,Non-profit management evaluation
71,23,Qualification,58000,80,2024-08-10,4,Development system requirements
72,23,Proposal,60000,83,2024-08-14,4,Management platform proposal
73,24,Discovery,120000,80,2024-01-18,1,Safety management assessment
74,24,Qualification,125000,85,2024-03-15,1,Construction safety requirements
75,24,Proposal,130000,85,2024-05-20,1,Safety system proposal
76,25,Discovery,155000,80,2024-02-01,5,Clinical trial evaluation
77,25,Qualification,160000,85,2024-04-05,5,Trial platform requirements
78,25,Negotiation,165000,89,2024-06-15,5,Clinical platform contract
79,26,Discovery,130000,80,2024-03-01,4,Home automation assessment
80,26,Qualification,135000,85,2024-05-10,4,Smart home requirements
81,26,Proposal,140000,87,2024-07-20,4,Automation platform proposal
82,27,Discovery,110000,75,2024-03-29,1,Game studio evaluation
83,27,Qualification,115000,80,2024-06-05,1,Studio management requirements
84,27,Proposal,120000,84,2024-08-03,1,Studio platform proposal
85,28,Discovery,145000,85,2024-04-12,5,VR development assessment
86,28,Qualification,150000,88,2024-06-20,5,Development platform requirements
87,28,Negotiation,155000,90,2024-08-07,5,VR development contract
88,29,Discovery,105000,80,2024-05-10,4,Automation control evaluation
89,29,Qualification,110000,85,2024-07-15,4,Robotics control requirements
90,29,Proposal,115000,86,2024-08-08,4,Control system proposal
91,30,Discovery,195000,85,2024-05-24,2,Quantum development assessment
92,30,Qualification,205000,90,2024-07-10,2,Development tools requirements
